loan_id,customer_id,gender,age,marital_status,education_level,county,employment_status,monthly_income_kes,mobile_money_usage,airtime_topup_frequency,loan_amount_kes,loan_term_months,interest_rate,repayment_frequency,num_previous_loans,num_defaults,loan_purpose,collateral_type,group_loan,days_late,repayment_progress,defaulted
L100000,C50000,Other,53,Widowed,Secondary,Kisumu,Self-employed,21687.82,13826.47,6,49329,12,18.45,Bi-weekly,0,0,Emergency,None,True,11,21.54,0
L100001,C50001,Male,59,Widowed,Secondary,Mombasa,Informal,53270.23,-2893.48,6,10066,24,7.11,Bi-weekly,0,1,Agriculture,None,True,42,9.21,0
L100002,C50002,Other,52,Divorced,Primary,Mombasa,Self-employed,78339.22,3530.53,7,20729,6,11.91,Weekly,3,0,Household,Title Deed,False,24,47.54,0
L100003,C50003,Other,55,Divorced,Tertiary,Mombasa,Self-employed,32595.81,9076.93,2,8414,24,16.32,Monthly,2,0,Education,Livestock,True,31,30.74,0
L100004,C50004,Male,20,Widowed,Tertiary,Mombasa,Self-employed,40480.63,12043.0,12,20463,3,9.83,Weekly,0,0,Emergency,Guarantor,False,40,71.68,0
L100005,C50005,Male,58,Divorced,Secondary,Kisumu,Formal,39930.33,8410.71,6,35371,6,16.33,Weekly,1,1,Medical,Electronics,True,16,67.06,0
L100006,C50006,Other,52,Divorced,Secondary,Meru,Formal,23539.95,14063.55,9,38638,24,18.25,Bi-weekly,2,2,Business,Title Deed,False,8,35.75,0
L100007,C50007,Female,57,Divorced,Tertiary,Eldoret,Unemployed,18216.03,20012.72,3,6599,12,17.84,Monthly,3,0,Education,Guarantor,False,33,88.54,0
L100008,C50008,Other,39,Widowed,None,Meru,Informal,2500.0,14888.74,7,23361,12,8.34,Weekly,1,0,Agriculture,Electronics,True,28,11.05,0
L100009,C50009,Other,25,Single,None,Meru,Self-employed,41843.39,16000.17,3,37997,6,11.43,Monthly,4,0,Business,Guarantor,False,54,62.56,0
L100010,C50010,Other,32,Single,Secondary,Mombasa,Self-employed,26169.17,4152.5,4,40891,3,24.71,Weekly,1,0,Agriculture,Guarantor,False,59,37.73,0
L100011,C50011,Other,62,Divorced,Tertiary,Nairobi,Formal,14637.44,-2177.4,6,42624,12,11.82,Monthly,2,1,Household,Title Deed,True,56,54.35,1
L100012,C50012,Male,24,Single,None,Kisumu,Formal,22711.84,15372.49,4,26734,24,15.08,Bi-weekly,2,0,Business,Electronics,True,20,33.15,1
L100013,C50013,Other,36,Divorced,Tertiary,Machakos,Formal,24243.98,17949.43,4,46935,12,9.44,Monthly,3,0,Business,Electronics,False,6,9.26,0
L100014,C50014,Female,57,Single,Primary,Machakos,Informal,13682.75,17077.46,6,28469,24,6.47,Monthly,1,1,Agriculture,Electronics,True,2,92.17,0
L100015,C50015,Male,59,Single,Secondary,Nakuru,Formal,14036.29,12674.19,7,44886,24,10.2,Bi-weekly,3,0,Emergency,Title Deed,False,14,53.09,0
L100016,C50016,Female,34,Married,None,Nakuru,Self-employed,32706.83,20835.93,5,5869,12,7.27,Weekly,3,0,Agriculture,Guarantor,True,50,51.2,0
L100017,C50017,Female,18,Divorced,Secondary,Eldoret,Self-employed,17038.15,1254.57,8,46088,24,12.75,Monthly,0,1,Agriculture,Guarantor,True,18,88.46,0
L100018,C50018,Female,62,Single,Primary,Kisumu,Self-employed,16060.71,10101.27,4,3804,6,14.64,Monthly,2,1,Medical,Guarantor,False,50,60.48,0
L100019,C50019,Female,46,Single,Tertiary,Kisumu,Unemployed,22078.93,17399.13,6,43883,6,24.26,Monthly,3,0,Agriculture,Livestock,True,54,94.55,0
L100020,C50020,Male,30,Married,Secondary,Kisumu,Informal,-3285.55,-4279.81,8,37737,24,6.58,Monthly,2,0,Emergency,Electronics,True,22,30.28,1
L100021,C50021,Male,46,Single,None,Meru,Self-employed,6612.75,11549.81,6,38989,24,11.69,Monthly,1,0,Agriculture,None,False,48,97.3,0
L100022,C50022,Female,58,Married,Primary,Nairobi,Self-employed,14573.63,6243.16,5,46993,12,16.18,Monthly,0,0,Education,Electronics,False,53,72.45,0
L100023,C50023,Female,59,Single,None,Machakos,Self-employed,53871.69,15181.56,1,40518,12,19.5,Monthly,4,0,Emergency,Title Deed,True,39,23.14,0
L100024,C50024,Male,23,Married,Tertiary,Machakos,Formal,43468.49,18289.43,4,32922,3,18.28,Weekly,1,0,Business,Title Deed,True,44,76.53,0
L100025,C50025,Male,22,Married,None,Nairobi,Self-employed,30419.31,17668.92,5,18005,12,12.07,Weekly,4,0,Emergency,Electronics,True,45,41.29,0
L100026,C50026,Male,51,Widowed,None,Meru,Formal,42757.09,10775.31,8,9538,3,8.1,Bi-weekly,0,1,Household,Guarantor,False,57,50.17,1
L100027,C50027,Other,28,Divorced,None,Mombasa,Formal,42959.64,6699.11,8,9427,12,17.74,Bi-weekly,4,1,Household,Electronics,True,36,13.34,0
L100028,C50028,Other,26,Widowed,Primary,Meru,Informal,7239.53,7371.37,13,15785,6,24.15,Monthly,0,0,Medical,None,False,0,43.35,0
L100029,C50029,Other,55,Divorced,None,Nakuru,Informal,8531.65,14245.6,4,18691,3,19.14,Monthly,0,2,Business,None,True,46,89.1,0
L100030,C50030,Female,57,Single,None,Machakos,Self-employed,19859.53,16567.97,1,19333,12,23.74,Weekly,4,1,Medical,None,True,55,39.92,0
L100031,C50031,Other,58,Divorced,Primary,Meru,Informal,27018.93,21406.45,6,11941,6,21.17,Bi-weekly,1,1,Business,Livestock,True,20,18.85,0
L100032,C50032,Female,26,Widowed,Primary,Nairobi,Formal,6103.24,4760.87,8,35123,6,7.9,Monthly,2,1,Household,Livestock,False,37,20.45,0
L100033,C50033,Female,25,Divorced,Primary,Nakuru,Formal,38391.66,11341.41,2,10928,6,13.97,Bi-weekly,2,0,Business,Guarantor,True,54,11.8,0
L100034,C50034,Other,61,Widowed,Tertiary,Meru,Self-employed,33956.17,11576.72,2,48225,24,9.74,Weekly,1,0,Household,Electronics,True,50,30.58,0
L100035,C50035,Female,57,Divorced,Primary,Kisumu,Self-employed,45496.11,11287.87,6,29578,24,24.21,Weekly,2,1,Emergency,None,False,34,30.53,1
L100036,C50036,Other,20,Single,Tertiary,Nairobi,Self-employed,19622.59,14150.23,6,42777,6,16.31,Weekly,4,0,Household,None,True,26,85.83,1
L100037,C50037,Other,30,Single,Primary,Nakuru,Formal,15140.55,13600.21,3,20684,12,8.35,Monthly,0,0,Medical,Livestock,False,35,98.48,0
L100038,C50038,Male,36,Divorced,Primary,Nairobi,Formal,62520.86,5433.64,9,38523,12,22.6,Bi-weekly,3,1,Household,None,False,40,10.66,0
L100039,C50039,Other,51,Divorced,Secondary,Kisumu,Self-employed,18951.59,3529.26,6,23435,3,14.84,Monthly,0,0,Household,Title Deed,False,13,82.07,1
L100040,C50040,Male,49,Single,Secondary,Kisumu,Self-employed,19330.09,16142.52,12,28697,3,16.36,Monthly,3,0,Business,Title Deed,True,26,89.52,1
L100041,C50041,Other,33,Divorced,Secondary,Kisumu,Formal,20265.56,4648.91,7,19586,24,11.41,Weekly,3,0,Emergency,Title Deed,False,26,71.62,0
L100042,C50042,Other,53,Married,Secondary,Mombasa,Informal,41347.08,19293.35,4,20998,12,12.07,Weekly,2,1,Agriculture,Electronics,True,14,31.33,1
L100043,C50043,Male,35,Single,Primary,Meru,Formal,41603.08,5932.42,6,3200,24,18.87,Bi-weekly,3,0,Business,Title Deed,True,36,60.91,1
L100044,C50044,Male,31,Single,Primary,Nakuru,Informal,24727.44,9002.82,7,35310,3,11.12,Weekly,2,0,Emergency,Title Deed,False,55,83.47,0
L100045,C50045,Other,47,Widowed,Tertiary,Machakos,Self-employed,46264.52,6977.09,9,10913,6,14.2,Monthly,2,0,Household,Electronics,True,38,78.8,0
L100046,C50046,Female,19,Widowed,Primary,Mombasa,Formal,65767.21,22882.29,8,44591,6,10.95,Bi-weekly,1,0,Education,None,True,58,26.91,1
L100047,C50047,Male,30,Married,Tertiary,Machakos,Self-employed,20183.64,26988.48,10,38364,24,22.4,Bi-weekly,2,0,Business,None,True,35,21.33,0
L100048,C50048,Female,44,Divorced,None,Eldoret,Self-employed,1838.31,12249.96,5,47277,24,19.59,Weekly,1,0,Agriculture,Guarantor,True,21,35.3,0
